CCU_ID,Cost_per_ton_USD,Efficiency_percent,Capacity_tons_per_year,Energy_consumption_MWh_per_ton,Age_years,Ambient_temperature_C,Effectiveness_Score
CCU_1,40.36,91.7,1000000,3.04,2.5,26.6,5
CCU_2,68.02,91.3,614314,2.9,4.0,23.8,4
CCU_3,54.16,87.61,627872,2.99,4.0,26.6,4
CCU_4,76.83,87.32,360404,3.2,2.0,13.8,4
CCU_5,41.92,97.77,560549,2.58,1.0,25.2,5
CCU_6,70.39,85.38,252612,2.7,6.6,20.9,4
CCU_7,60.2,88.94,724004,2.6,6.3,19.3,4
CCU_8,102.15,76.69,393095,3.33,10.0,22.4,0
CCU_9,112.35,76.97,316466,3.39,5.5,22.5,0
CCU_10,84.26,84.51,595663,2.99,5.8,24.3,2
CCU_11,84.19,81.28,129069,2.93,5.5,23.2,2
CCU_12,95.02,77.06,270177,3.52,6.6,22.9,0
CCU_13,76.98,90.79,511990,2.47,2.6,26.3,4
CCU_14,83.11,82.48,508570,3.27,4.2,19.4,2
CCU_15,52.64,91.6,893406,2.56,8.0,26.0,4
CCU_16,77.87,82.95,662010,3.33,6.9,25.1,2
CCU_17,48.88,81.5,664674,3.25,7.0,24.1,4
CCU_18,104.1,78.76,610344,3.63,6.4,18.9,0
CCU_19,51.93,94.92,1000000,2.62,6.6,29.0,5
CCU_20,71.6,83.32,546256,3.1,6.8,29.5,3
CCU_21,94.58,88.19,661812,2.99,2.4,26.1,2
CCU_22,81.73,82.21,704858,3.13,8.8,26.1,1
CCU_23,87.45,81.8,450551,3.34,4.9,22.9,2
CCU_24,83.62,89.12,397121,3.06,2.4,19.0,3
CCU_25,53.97,96.5,966953,2.58,4.4,15.1,5
CCU_26,65.44,82.66,487469,2.97,8.2,19.8,3
CCU_27,75.84,93.77,398273,2.72,2.8,19.9,5
CCU_28,77.56,89.11,687528,2.85,3.8,16.6,3
CCU_29,51.73,89.11,748218,2.79,4.2,27.5,5
CCU_30,92.47,79.81,308387,3.16,7.3,21.9,1
CCU_31,79.8,81.92,42066,2.74,3.5,24.9,3
CCU_32,115.8,81.4,548466,3.42,5.5,21.7,0
CCU_33,81.64,85.99,383989,3.01,3.1,29.6,3
CCU_34,25.95,94.52,757137,2.66,5.4,19.8,5
CCU_35,76.72,88.86,348404,2.71,2.0,26.3,4
CCU_36,70.23,88.58,659817,2.59,5.5,26.5,3
CCU_37,85.11,83.73,709997,2.78,6.4,34.4,1
CCU_38,83.04,83.23,378808,3.25,5.8,18.1,2
CCU_39,95.01,83.41,264573,3.1,5.3,19.5,2
CCU_40,78.7,78.0,255256,2.95,8.6,33.8,1
CCU_41,93.4,80.61,384362,3.01,4.8,25.1,1
CCU_42,43.14,88.6,475946,2.63,6.3,19.2,5
CCU_43,88.89,84.79,665260,2.91,4.1,27.2,2
CCU_44,103.61,77.46,240845,3.32,7.5,20.8,0
CCU_45,111.23,75.66,346452,3.41,7.0,29.6,0
CCU_46,101.7,88.34,534692,2.68,1.0,36.0,2
CCU_47,84.65,90.15,648710,3.34,3.2,14.5,3
CCU_48,92.13,82.29,646872,3.23,8.5,25.0,1
CCU_49,35.04,85.23,528828,3.03,5.8,20.9,5
CCU_50,79.9,84.18,657356,3.13,7.0,24.0,2
CCU_51,77.81,76.47,376328,3.31,8.9,24.8,1
CCU_52,111.56,80.54,256710,3.21,4.2,31.9,0
